@relation MyTestRelation

@attribute class {joy,trust,vigour,anger,confusion,fear,anticipation,depression,surprise,fatigue,tension,disgust}			
@attribute tweetcontent string

@data
joy,'@___apopo_74 ???????????????????'
joy,'RT @livedoornews: ???????????????????????????\nhttps://t.co/1Psry8XuzR\n\n?????????????????????????????????????????????????????????????? https…'
joy,'RT @CCNews__: La gimnasta mexicana @analago95 brilla en Londres enfundada en su traje de mariachi.\n\nhttps://t.co/Rxj6g96YRM'
joy,'RT @VyeOne: Att’n ?@JustinTrudeau?\nTrump says “Whatever\'s good for this country, I would do.\" \nBeat him. Don’t let him use Canada. \nDo what…'
joy,'RT @CSweeneyRPN: .@ARPMRubber to hold Innovation Symposium with @aceprodcon, details @RubberNews #RubberIndustry #Manufacturing https://t.c…'
joy,'HIPAA enforcements hit record $28 million in 2018 https://t.co/2TbK6H5KmX via @modrnhealthcr'
joy,'RT @Patriots: .@jerod_mayo51 announces his return to the #Patriots - this time as a member of the coaching staff: https://t.co/4pMk5pFyQo h…'
joy,'RT @tuCpakoa: Alaska.\nWilliam, un américain de 28 ans, tire sur un ours qui est au sommet d\'une pente. Dans sa chute, l\'ours déloge une pie…'
anger,'2?? ?????? CRAZY MUD GAMES 2019 – ??????? 7/4/2019\n#CrazyMudGames #Motocross #?????????? #??????? #motorcycle #motorcyclist #news #race #racing #bikerspirit #??????????? https://t.co/pY71NwuqzM ???? ??? ?????? @BikerSpiritmaga'
joy,'RT @johncarlosbaez: The paper is called \"Integer multiplication in time O(n log n)\" and it\'s by David Harvey and Joris Van Der Hoven.  It\'s…'
joy,'????????????????????????????????????????????????????????????????????????????\nhttps://t.co/1ttNzV6srK'
joy,'@NoticiasRCN Eso de “posible” soldado secuestrado por la minga, como disculpa del gobierno para estorbar el diálogo, tiene un aroma a  Fake News en curso #PedsgogiaPolitica'
joy,'RT @relationshi2_: https://t.co/9GyidByMc8'
joy,'Fuck trump!\n\nTrump tells Guaido’s wife he will ‘fix’ crisis in Venezuela\nhttps://t.co/kP0MK8O6ZX'
joy,'RT @ArsenalFC_fl: You wouldn\'t say no to this transfer! ?\n\nIt couldn\'t happen... could it?\n\nhttps://t.co/I5A6tOfkot'
joy,'RT @CofekRebranded: Why consumption of recycled alcoholic spirits has reached crisis level in Kenya #ConsumerVoice @NACADAKenya @KEBS_ke ht…'
trust,'RT @NicolleDWallace: I’m grateful to have had the job “getting the shit kicked out of me” for as many years as I had it. Trumps “war on the…'
vigour,'RT @beccalew: in light of the news that the christchurch shooter had direct financial ties to the identitarian movement, here\'s a quick thr…'
joy,'RT @AndrewPollackFL: I would arm the lunch ladies and crossing guards if they could pass 144 hours of intense training\n\nAnyone who wouldn’t…'
joy,'Thousands of California families living in RVs as exorbitant rents leave many facing homelessness | Daily Mail Online https://t.co/qkvpJylVZc'
joy,'RT @alx: READ: The Prosecution\'s Case Against Jussie Smollett\n\n• Materials purchased morning of attack (Video Evidence)\n\n• Check From Smoll…'
joy,'is it bad that i haven’t missed twitter, i only got it back to keep up with news n tours ??'
joy,'RT @JamesFallows: Just in case everyone doesn’t already know this, the person who personally blocked a bipartisan warning about Russian int…'
joy,'RT @relationshi2_: https://t.co/yrY34SNOvT'
joy,'@roberttcu12 @amanduh37604 @Pauliethespy @CBSThisMorning @staceyabrams California has a huge surplus and is the 6th largest economy in the world.  Like I said, stop believing the false narrative of Fox News and get the real facts. ?'
joy,'RT @ddale8: Trump made 57 false claims last week. He made 28 in a speech to workers at an Ohio tank factory. He got fact-checked by a cathe…'
joy,'@GMB @piersmorgan @susannareid100 If the news comments saying Piers Morgan had a night of passion with his Co star Suzanna  ill take her to fekking Spec savers meself  ????'
joy,'RT @donald_j_putin: Trump’s spiritual adviser (mega-church pastor Paula White): relationship with president is ‘assignment’ from God. Da; t…'
joy,'RT @Patriots: .@jerod_mayo51 announces his return to the #Patriots - this time as a member of the coaching staff: https://t.co/4pMk5pFyQo h…'
depression,'Wow this evidence pretty much spells out that #JussieSmolett is guilty of a hoax yet he didn\'t get a slap on the wrist but a pat on the back smh  https://t.co/3FuJGvjMvz'
joy,'FDA warns of \'serious threat to human and animal health\' in 3 lots of Darwin\'s Natural dog food https://t.co/QeQjqzyEDJ'
joy,'RT @___go_for_it___: ?????????????????\n???1?????????????????????\n?????????????????????????????????????(???) - Y!???? https://t.co/MYGN7Mx5JU'
joy,https://t.co/Gwt7NcUWIt
joy,'RT @RealJamesWoods: Brian Stelter cautioned by CNN colleague Steve Cortes: \'Don\'t disrespect the cops\' in Smollett case | Fox News https://…'
joy,'Good news!!! https://t.co/52ffXihOM9'
joy,'RT @insight_co_kr: ???? ???? ?? ? https://t.co/gSaMZW9ogM'
joy,https://t.co/VQMCEDjZCP
joy,'@PrideOfDetroit This is exactly the no news Snacks was talking about.'
joy,'RT @PakistanUpdate9: ???? ?? ?? ?? ?????? ??? ?? ???? ?? ??? ?????? ???? ??? ?? ????? ???, ?? ?? 98 ???? ???? ?? ?? ???? ?????? ???? ??\n\n#P…'
joy,'\"Outrageous abdication\" for EU govts: Diminished “Operation Sophia” abandons refugees & migrants to reckless Libyan Coast Guard\n\nhttps://t.co/AQfe0h7frY'
joy,'And the award for the least surprising news of the day goes to... https://t.co/B1zHFWrDbg'
joy,'RT @eziomauro: Disastro capitale: Roma affonda tra incapacità e scandali | Rep https://t.co/zRQ74Pyntj @repubblica'
trust,'RT @NicolleDWallace: I’m grateful to have had the job “getting the shit kicked out of me” for as many years as I had it. Trumps “war on the…'
joy,'RT @InstaNewsAlerts: #Egypt is presenting a proposal to #Hamas which includes understandings for a truce with #Israel to be in effect for o…'
joy,'RT @Tejaswini7: I\'m waiting for TV9\'s costumes! Balakot made them go bonkers with attire. Now, will it be \"Antariksham\" movie set for TV9 n…'
joy,'RT @ladbible: Man who tortured dog sentenced to 10 years in prison and will be deported. Justice. https://t.co/G3BJaepwkL https://t.co/DEU5…'
joy,https://t.co/QFAGZBER2z
joy,'RT @ABSCBNNews: Backstreet Boys to bring ‘DNA World Tour’ to Manila https://t.co/eivizJ7zXn'
joy,'RT @relationshi2_: https://t.co/NxV72bxDQ0'
joy,'RT @RollingStone: Bryan Ferry will stage a reunion performance with Roxy Music members Andy Mackay and Phil Manzanera at this year\'s #RockH…'
joy,'RT @martingeddes: Good news from @winning_race! Prior @2runtherace account is unsuspended. One of the most notable MAGA/Q accounts, providi…'
joy,'RT @kylegriffin1: Details from new Barbara Bush book:\n\n*Bush blamed Trump for her heart attack.\n\n*She said by today\'s terms, with Trump\'s r…'
joy,'RT @susipudjiastuti: Simak artikel berikut: kenapa ikan2 di West Africa hilang. Indonesia sekarang jauh lebih banyak ikannya dibanding 4 ta…'
joy,'RT @Astro_Cady: Excellent thread about today\'s #spacewalk news. Disappointing but correct -- Iit\'s the @NASA way - - safety & mission first…'
joy,'RT @jesuschrist2008: Mark Levin on Mueller: \'Barack Obama\'s government did all this\' https://t.co/KTwecfy5Dw'
joy,'RT @JadeCroucher: So far my little sisters disappearance has only made local news meaning that so so so many people still have no idea she…'
joy,'@idaten__95 ??????'
joy,'RT @funder: When they yell “no collusion” they’re actually trying to act like Trump shouldn’t be investigated for anything related to him a…'
joy,'RT @BaliqueF: #FN = voleur !!!\nEmplois présumés fictifs au #RN : Yann, la soeur de #Marine #lePen, mise en examen https://t.co/djDt0T0d7C'
vigour,'RT @NBCPolitics: BREAKING: Facebook banning \"praise, support and representation of white nationalism and separatism on Facebook and Instagr…'
joy,'Theresa May Says She’ll Quit As Prime Minister If Her Brexit Deal Goes Through - BuzzFeed UK https://t.co/8BDcMCZi3h'
joy,'Barbara Bush blamed Trump for \'angst,\' new book reveals  https://t.co/O9kk97OfL8 https://t.co/KvQglFT0GG'
joy,'RT @psychdr100: Research associates physical illnesses more likely under Trump Anxiety disorder.  https://t.co/xqMqz0SE9q'
joy,'RT @business: No longer a rising superpower, Japan is pioneering the way a wealthy nation ages into the future https://t.co/hGcyJFWp15'
joy,'RT @juventusfc: Tutte le ?dell\'allenamento di oggi? ???\n?? https://t.co/9t9WrzKFSV https://t.co/HJIgGUrNCy'
anger,'RT @Gerrard8FanPage: Liverpool attacker has confirmed he will quit the club at the end of the season..\n\nTerrible news for Liverpool fans. h…'
joy,'RT @MuleriderSports: SB | @SAUSoftball ranked 4th in @NFCAorg Division II Poll #GoMuleriders #SaddleUp #LetsRide #RoadToDenver https://t.co…'
joy,'RT @1stOhioBattery: Sergei Bobrovsky is now tied for the NHL lead in shutouts with eight after blanking the Islanders last night. #CBJ http…'
joy,'RT @AppleNews: Introducing Apple News+. Your favorite magazines and leading newspapers. All in one place. Stories curated by editors and pe…'
joy,'RT @dbongino: GREAT NEWS: \nI decided on a title for my sequel to our best-selling book “Spygate” it is ??\n“Exonerated: The Failed Takedown…'
joy,'RT @Under_Radar_Mag: British songwriter/producer Maps (@thisismaps) has shared a new track that is a thematic variation of \"Both Sides,\" of…'
joy,'RT @nikkiwentling: Before Spc. Joseph Collette left for Afghanistan, he wrote and hid 30 love letters for his wife to find. \n\n\"So last nigh…'
joy,'RT @RyanAFournier: Boom...\n\nFox News Caves, Officially Ends Judge Jeanine Pirro’s Suspension https://t.co/2OnQCPkLEb'
joy,'RT @ExperianCredit: Paul DeSaulniers, Head of Alternative Data, Scoring, and Collections at Experian, was featured in an @Automotive_News a…'
joy,'RT @relationshi2_: https://t.co/Fv4PFSmklv'
joy,'RT @TRC_Shibuya: ?#bknb????????\nback number???????????????????\n????????MAGIC?????????\n\n????????????????????????????????\n\n????4?12????\n?????…'
joy,'RT @famitsu: ??????????? ?????×VANS???? ????&????????????????????? https://t.co/nBHqm7yDQC https://t.co/yYmFGvvRlE'
joy,'RT @comingsoonit: .@Cinecittà @cinecitta_world, il parco divertimenti del Cinema e della TV di Roma, omaggia #TerenceHill e organizza una g…'
joy,'???? ??????? ???? ????????????? \'??????????\'; ?????????? ??????? https://t.co/eCARJRVP1u'
joy,'News: The PM has said that she will not be PM for the \"next phase\" of Brexit negotiations. Reportedly this happened while she addressed the 1922 committie, which is leaking like the Titanic after the iceberg.'
joy,'Flooding hits South Dakota American Indian reservation hard https://t.co/rie5kIFC3D'
joy,'RT @FCBayernEN: #ServusLucas ?\n\nAll the info on @LucasHernandez\'s transfer to #FCBayern ? https://t.co/zisDhQ5KvL'
joy,'RT @YahooNewsTopics: ????????????????\nhttps://t.co/fpyu5u4LON\n\n????????????????????????????????????????1200???1300?????????????????????????…'
fatigue,'cardi b drugged men and raped them. yet everyone is quiet. if she would be a man, i bet that would have been in the news already.'
joy,'RT @cjwerleman: It\'s breathtaking how the mainstream news media can report \"Hamas Fires Rocket at Israel\" without ever once mentioning Isra…'
joy,'RT @TrojanManifesto: BBC News - Lord Ahmed of Rotherham in court on child sex abuse charges https://t.co/GOu1CiF3lz'
joy,'RT @niktrah: ? ?????????????? ??????? ??? «????? ??? ????????»: 644.668 ???? ??? ??? ??????????? ???????????? ????? ??? ???????? https://t.…'
joy,'RT @KhaledBeydoun: Many news outlets are still calling the New Zealand TERRORIST the \"gunman\" or the \"shooter.\"\n\nNo, he\'s a T-E-R-R-O-R-I-S…'
joy,'RT @C_3C_3: Remember when Barack Obama lied and told Americans that he found out about Hillary’s illegal server from the news.\n\nThen we fou…'
joy,'RT @relationshi2_: https://t.co/S1JeY7bcie'
joy,'RT @DebtCrisisOrg: Another attack on Americans with #studentdebt! \n\nhttps://t.co/60Rp5em1Vp'
joy,'@Sankei_news ??????????????????????????????????????????????\n?????????????? https://t.co/jMGKEsbt9z'
joy,'John Stossel: Democratic socialism is not the route to paradise – Just look at Venezuela - Fox News https://t.co/RXKzgGPiOc via @GoogleNews'
joy,'RT @the_lentach: ? ???????? ???????? ????????? ??????, ??????? ???????? ??? ???????????? ??????????. \n\n?? ?????? ???, ???????? ?????????? ?…'
joy,'RT @DrGPradhan: But why? I can think of 2 reason\n\n1. Let India be dependent on US. This way US get Arms business and Family gets commission…'
joy,'Marriage of the old and the young... CI and industry 4.0: a new love for old methodologies! #industry40 #innovations #ai #pwc https://t.co/hXG9uewaOF'
joy,'@Lawrence \n\n#INDIVISIBLE https://t.co/PCSdM0EL8c \n\n FYI - #USAGWilliamBarr - \n\nJUST IN CASE YOU HAVEN\'T FIGURED IT OUT, \n\nYOUR USEFULNESS TO \n\n#TANTRUMTwitterPREZ IS NOW OVER \n\n& UR EXPENDABLE! \n\nhttps://t.co/MJBHZoMhhK …'
joy,'RT @BandaiNamcoFR: Joueurs de #DragonBallFighterZ, nous savions que vous l\'attendiez : le patch 1.15 est disponible ! Il apporte d\'importan…'
joy,'RT @MarleeMatlin: Please RT. The benefits of Special Olympics, which I have seen first hand as volunteer are IMMEASURABLE. DeVos proposal t…'
joy,'RT @todayng: Kano elections: Amnesty urges government to investigate violence in re-run polls https://t.co/X7GIidHKbr'
joy,'RT @liddlelur: BBC to use licence payers money to pay stars tax bills, \"This was sent in by a member this was in today\'s news. it is only a…'
joy,'Breaking News: \n\n Russia now sending casualties to Venezuela. https://t.co/5fA5RXa0Ui'
joy,'RT @TimRunsHisMouth: The prosecutions case against Jussie Smollett was leaked this morning... THIS IS FAR FROM OVER. https://t.co/PAspQC23iD'
joy,'RT @HalfAtlanta: Currently: imperialist mouthpiece cosplaying as news station MSNBC has the wife of Venezuelan opposition leader Guaido lab…'
joy,'RT @UnityNewsNet: HORRIFIC scenes from Sadiq Khan\'s \'vibrant\' \'multi-cultural\' London where road rage sees MACHETES pulled as locals flee i…'
joy,'RT @cbcnewsbc: Federal minister meeting B.C. attorney general to discuss money laundering https://t.co/puB019MfYd https://t.co/UbT8Phy0uG'
joy,'People sometimes forget developers are in business to make money. They don’t care where that money comes from and if it’s someone with the ability to pay more, why... https://t.co/CofUHqe0zi'
joy,'RT @raajjemv: Feyrun inthihaagai, aharuge mihaathanah feyrumuge 120 massala!\nhttps://t.co/4cj71uD1nn'
depression,'Government buys £12m luxury New York apartment for diplomat https://t.co/sofgXYKKhD'
joy,'RT @THICJ00N: OF ALL MY TWEETS THAT COULD MAKE A NEWS ARTICLE THEY CHOSE THIS IM DEACTIVATING https://t.co/vPlYoIRHdH'
joy,'RT @FCBayern: ?? Der #FCBayern verpflichtet @LucasHernandez! Der 23-jährige Weltmeister erhält einen Fünfjahresvertrag bis zum 30.6.2024. ?…'
joy,'Read the Chicago police investigative file on the Jussie Smollett case https://t.co/inrTYUaTgK'
joy,'RT @mitchellvii: WAIT, NOT 70\%? Gillibrand in 2018 paid 13.4 percent in federal taxes on $218K of earned income https://t.co/5UXqFBWhGe'
joy,'RT @Saudi_Aramco: ?????? ???????? ???? ??????? ????????? ??? ??? ???????? ??????? 70\% ?? \"????\" ?? ????? ??????????? ?????? https://t.co/VO…'
joy,'RT @AngeleStar11: DEMOCRATS said they had EVIDENCE. LIARS.\n.\n1) No new indictments;\n2) No collusion by Russians with Trump campaign;\n3) No…'
joy,'RT @princegod__: BREAKING NEWS: Dogs get treated better than niggas in America. but we’ll get back that later https://t.co/duC6lLaCx2'
joy,'RT @patsulbaran: I refuse to get used to not knowing about my family for hours because of constant blackouts in Venezuela. I get a sense th…'
joy,'@MMDA @MyThor12345 Ano po yung sa news na no window hours? Saan mga city to may infographic or chart ba kayo about coding po?'
joy,'According to some other news articles, many more instances of forging #Disability  to get the monthly financial assistance from social welfare department have also been reported. 2/2'
joy,'Feyrun inthihaagai, aharuge mihaathanah feyrumuge 120 massala!\nhttps://t.co/4cj71uD1nn'
joy,'Kansas Brings Back Bill Requiring Voters to Prove US Citizenship https://t.co/DJdtJUMr2X'
vigour,'RT @NBCPolitics: BREAKING: Facebook banning \"praise, support and representation of white nationalism and separatism on Facebook and Instagr…'
joy,'@PG1_Theatre @CanadaCouncil Thank you!  We\'re all super-excited. Congrats on all your incredible news too!'
joy,'RT @pogform: seeing leftists so openly pushing the “homosexuality is bourgeois decadence” line is fuckin wild https://t.co/6v94hVptIy'
joy,'.@foxnews “doesn’t get to say shit about conspiracy theories & political lies”\n\n @ingrahamangle published stories that Clintons murdered people\n @tuckercarlson pushed the @Obamacare death panels lie\n @seanhannity peddled the #SethRich murder lie\n\n @21CF \nhttps://t.co/C554SFwxk8'
joy,'RT @BBCWorld: Jersey child rapist jailed for 15 years https://t.co/CTwUjIK0zr'
joy,'RT @TezosFoundation: We are pleased to announce that @CryptiumLabs has received an additional grant to develop baking and consensus improve…'
joy,'RT @wespeakdotca: From AM800 News -  Missing Leamington Teen https://t.co/RQrvYS01KF'
anger,'RT @NBCNews: President Trump is again voicing his opposition on disaster aid funding for Puerto Rico, complicating matters in Congress ahea…'
joy,'RT @AuburnSoftball: Join us tomorrow night at 6 p.m. for Bark in the Park night as we play @KSUOwlsSB!\n \n?: https://t.co/UA08h1Eiwa\n\n#WarEa…'
joy,'What Mueller report? \n\nThese Democratic voters are like ¯\\_(?)_/¯ https://t.co/zs2icoIu5J'
joy,'RT @45albannach: BBC News - Scottish Parliament to vote for Brexit to be cancelled https://t.co/Du8jcKRkF2'
joy,'Betsy DeVos calls for more charter schools even as they spark investigations across the country https://t.co/ikvTYm93yr via @USATODAY'
joy,'RT @politvidchannel: BREAKING: Lindsey Graham Just said Trump Won’t Block Release of Mueller Report Via Executive Privilege and He is expec…'
joy,'(3/27) honto ???????????? > ?????? > ????????11?:??? ? ???????? ? ??????????? ????...?\nhttps://t.co/7F073Dp4AL'
joy,'RT @funder: When they yell “no collusion” they’re actually trying to act like Trump shouldn’t be investigated for anything related to him a…'
joy,'@DF93201  someday I\'ll have to face the fact that life, news, Wales and even the dawn can cope without my narration....'
joy,'RT @abaruah64: Take the longest (election-related) bus ride in #Delhi with my @the_hindu colleague @ShinjiniG @vijaita @vargheseKgeorge @TH…'
joy,'Civil Air Patrol holds NCO school and Airman Basic class for Cadets https://t.co/6bdxb7vfbL'
joy,'RT @manupubby: Can show anti-satellite capability if govt gives nod: DRDO chief.\n\nMy Story from April 2012. \n\n#Shakti\n https://t.co/GUlQCiA…'
joy,'RT @DPantoulas: Beyond diagnosis, here I offer some concrete political and institutional solutions of how to move out of Venezuela\'s stalem…'
joy,'RT @AmyMek: Why would Oklahoma news station, @kfor, give HAMAS-linked CAIR a platform to bully an elected official\n \nFBI cut all their ties…'
joy,'RT @Independent: Theresa May says she will resign as prime minister if it means her Brexit deal passes https://t.co/LDmyXJBJmU'
joy,'Catholic Church continues its interference in politics, issues advisory to \'teach a lesson\' by voting – Opindia News https://t.co/Z7E3yHBBa9 via @opindia_com'
trust,'RT @ProBit_Exchange: The PUBLIShalliance network has now added US government contractor The Orietnal Press which is responsible for USFK pr…'
joy,'RT @Green_Footballs: The Trump gang is going to try to hide Mueller\'s full report away forever, like Trump\'s tax returns. We need a Daniel…'
joy,'RT @yadavakhilesh: The Indian Navy has rescued more than 190 people and provided assistance to more than 1,300 people in cyclone-hit Mozamb…'
joy,'RT @natalie_mu: ?????????????????????????????????????????7??\nhttps://t.co/eoIyaxB0qR https://t.co/aW79hkaXtG'
joy,'RT @relationshi2_: https://t.co/3mMIljZfLh'
joy,'RT @OANN: Are you tired of the mainstream media only reporting fake news? It\'s time to make the switch to One America News Network -- hard-…'
joy,'RT @osomatsu_movie: ?????????!!?\n??#????????? ????????????????????????2?35???3?05???????????\n\n???????????????????? #????? ?????????????????…'
joy,'RT @muftimenk: I\'m deeply saddened by news of the deplorable #MaliMassacre where more than 130 villagers were brutally killed. We need to d…'
joy,'RT @marklevinshow: Obama’s people did this \nhttps://t.co/7zIcKK2F0J'
joy,'RT @hinatazakanews: ??3?27?(?)???????????????????????????????????????\n???????????????\n\n#???46\n#???\nhttps://t.co/yiCKR7nPbe https://t.co/UiW…'
joy,'RT @RenukaJain6: Good evening @RahulGandhi @rssurjewala \n\nIndia had anti-satellite missile capability in 2007, but no political will: Ex-IS…'
joy,'RT @UN: \"I am concerned that we may once again be facing another dangerous escalation of violence in Gaza with potentially catastrophic con…'
joy,'RT @chuckwoolery: Omar fires back at Pelosi: Condemning First Amendment rights is ‘beneath any leader’ https://t.co/FjTPA3mINK https://t.co…'
joy,'RT @wordstionary: It will be your turn soon. You’ll be doing all the celebrating and sharing all your good news. You’ll be the one inspirin…'
joy,'Bannon: With Mueller probe over, Trump ‘is going to go full animal’ https://t.co/V3ucclDQLS via @YahooNews'
joy,'RT @ELAdvertiser: https://t.co/lOlcyaEpQh'
joy,'RT @ScottPresler: I HAVE GREAT NEWS: \n\nOn Tuesday, the Senate confirmed Bridget Bade to the 9th Circuit Court. \n\nBade is the 4th Trump judg…'
joy,'Ya new gf is old news yeen ain’t got enough green n she so blue'
joy,'Alpha Kappa Alpha - 85th Central Regional Conference \nThursday March 28, 2019 - Sunday March 31, 2019\nTHIS WEEKEND\n\nIn Studio Guests:\nMari Swayne\nBrittany Davis\nSonya L. Bowen - Central... https://t.co/JEUwk9BSPP'
joy,'Technology can do many things, even help search for buried treasure! @Paracosm3D’s handheld #LiDAR device was used on an episode of @History’s “Lost Gold of World War II.” https://t.co/ReaGRdhfBY https://t.co/JoS0L5FOo3'
joy,'RT @MarleeMatlin: Please RT. The benefits of Special Olympics, which I have seen first hand as volunteer are IMMEASURABLE. DeVos proposal t…'
joy,'RT @swilkinsonbc: 30 homes destroyed, around 500 structures damaged, Khan Younis plunged into darkness, as israel continues to attack Gaza…'
joy,'RT @News18India: ????? ????? ?? ???? ?? ???? ?? ??? ????? ?? ???? ?? ???????? ????? ????? ?????? ?? ??????? ?? ???? ????? ??? ?????? ??????…'
joy,'RT @tedcruz: Live shot of AOC as the Senate prepares to vote on her “Green New Deal” proposal... https://t.co/LuJJ0slSnz https://t.co/RWwpR…'
joy,'RT @CSEINDIA: A solar panel has a lifespan of 20-25 years. Experts say though recycling solar waste is a solution, there are challenges\n\n#s…'
joy,'Uh oh... Half of Older Americans Have Nothing in #Retirement Savings https://t.co/ocDD0uZZ5N via @YahooFinance'
joy,'RT @NASAJPL: This “Space Butterfly” is home to hundreds of baby stars ? https://t.co/R8GDADBNJI https://t.co/2WdEBgI9Xq'
joy,'RT @NigeriaNewsdesk: UNILAG produces 271 First Class as varsity holds 50th convocation https://t.co/P7xGFACrW3 via @todayng'
joy,'Canada posts its worst back-to-back monthly trade deficit on record\n\nhttps://t.co/pChZweSrxM https://t.co/dKFRxIfPV0'
joy,'RT @THICJ00N: OF ALL MY TWEETS THAT COULD MAKE A NEWS ARTICLE THEY CHOSE THIS IM DEACTIVATING https://t.co/vPlYoIRHdH'
joy,'RT @manupubby: India had registered diplomatic protests over sale of Swedish early warning aircraft, transfer of South African long range b…'
joy,'RT @relationshi2_: https://t.co/nBroy3wK2E'
joy,'RT @Jin_Akanishi: Come Watch This.\n\n????????\n\nhttps://t.co/dHx5ZKx96f\n\n#JINANANISHI #??? #Film #Documentary #???? #???????? #5Years #OurYea…'
depression,'RT @curetheNHS: I despair! Why is this still happening? \nMan died days after concerns raised about nutritional support, inquest told https:…'
joy,'@chadmcgregory @mitchellvii It\'s not appearing out of no where. He has far more support now then he did in 2016. There are millions of more Americans who are waking up every day. That\'s the benefit of being smart and not just dumping all the evidence out while the deep state still has a monopoly on news'
joy,'Say it with me: religion is not the problem. Thaaaats it. Now repeat that until you go back to sleep https://t.co/6FlQ4iCrCF'
surprise,'RT @ndtv: WATCH | \"Don\'t be shocked, a \'dhamaka\' is going to take place,\" says @RahulGandhi as he announces Rs 72,000 per year for India\'s…'
joy,'RT @teleSURtv: Siria solicita una reunión de emergencia al Consejo de Seguridad de la ONU sobre los Altos del Golán https://t.co/g1soo8rxzF…'
joy,'RT @NME: Listen to the first taste of @BTS_twt’s ‘Map Of The Soul: Persona’ in new comeback trailer https://t.co/NYS1KHK6tZ https://t.co/UM…'
joy,'@jack looks like Facebook has the upper hand on this problem. So what brilliant way are you going to combat white supremacists here? Facebook Will Ban White Nationalist And White Supremacist Content - BuzzFeed News https://t.co/fLX1qozgU1'
joy,'RT @LeftWingMike: Tom Watson said he wants to personally deal with accusations of racism levelled at Labour Party members.\n\nYet his own off…'
joy,'@news_ln ????? ???? ???? ??????'
joy,'RT @Franktmcveety: Alberta NDP had 4 yrs to make a difference and did nothing in the health care system so why do you think she is going to…'
joy,'RT @PrisonPlanet: Remember, the left is attempting to codify hate speech laws which make criticism of Islamic beliefs \'Islamophobic\'.\n\nThis…'
joy,'RT @dpinsen: Dr. Vignendra Ariyarajah. Born in Malaysia, trained at Harvard.\n\nGuessing @bariweiss won’t be quoting that @HamiltonMusical li…'
joy,'RT @nintendolife: Looks Like Final Fantasy VII On Switch Has Reintroduced A Bug That Was Patched Out Years Ago https://t.co/13rW1fXf0I #Nin…'
joy,'RT @JagranNews: ????? ????? ?? ???? ?? ?? ???? ????? ????????? ?? ??????: ????? ??????? ?????? ???? ???????\nhttps://t.co/QTJq1DlN2S\n#ISRO #…'
joy,'Sea Watch, Salvini: \"E\' stato un atto di pirateria\" https://t.co/8rpPDXUDzs'
joy,'RT @Veli_Ngobese: BREAKING NEWS: President Zuma\'s son Duduzani received R2 million from Bosasa which was used in his father\'s ANC president…'
joy,'RT @HenryRileyLLP: We\'re delighted to be acting as the lead consultant to the #Berwick Leisure Centre project for @N_landCouncil with lead…'
joy,'RT @Fanxxxxtastic: Odd that none of the MSM are covering the Grand Wizards, Blueshirts or Cultural Marxism I guess the #KKKonservatives tur…'
joy,'@lucasdscordeiro @EAFIFABR nao era pra vc amigo kkkk e fifa mania news....falou da EA por que nao chamaram pra o evento game charger'
joy,'RT @RyanAFournier: Boom...\n\nFox News Caves, Officially Ends Judge Jeanine Pirro’s Suspension https://t.co/2OnQCPkLEb'
joy,'RT @NME: Listen to the first taste of @BTS_twt’s ‘Map Of The Soul: Persona’ in new comeback trailer https://t.co/NYS1KHK6tZ https://t.co/UM…'
joy,'RT @funder: When they yell “no collusion” they’re actually trying to act like Trump shouldn’t be investigated for anything related to him a…'
joy,'RT @KremlinRussia: ????????? ?????? ?? ???????? ?????????? ???????? ? ??????: ???????????? ???? ? ?????????????? ?????? ???????? ?????? ??…'
joy,'@___apopo_74 ???????????????????'
joy,'RT @livedoornews: ???????????????????????????\nhttps://t.co/1Psry8XuzR\n\n?????????????????????????????????????????????????????????????? https…'
joy,'RT @CCNews__: La gimnasta mexicana @analago95 brilla en Londres enfundada en su traje de mariachi.\n\nhttps://t.co/Rxj6g96YRM'
joy,'RT @VyeOne: Att’n ?@JustinTrudeau?\nTrump says “Whatever\'s good for this country, I would do.\" \nBeat him. Don’t let him use Canada. \nDo what…'
joy,'RT @CSweeneyRPN: .@ARPMRubber to hold Innovation Symposium with @aceprodcon, details @RubberNews #RubberIndustry #Manufacturing https://t.c…'
joy,'HIPAA enforcements hit record $28 million in 2018 https://t.co/2TbK6H5KmX via @modrnhealthcr'
joy,'RT @Patriots: .@jerod_mayo51 announces his return to the #Patriots - this time as a member of the coaching staff: https://t.co/4pMk5pFyQo h…'
joy,'RT @tuCpakoa: Alaska.\nWilliam, un américain de 28 ans, tire sur un ours qui est au sommet d\'une pente. Dans sa chute, l\'ours déloge une pie…'
anger,'2?? ?????? CRAZY MUD GAMES 2019 – ??????? 7/4/2019\n#CrazyMudGames #Motocross #?????????? #??????? #motorcycle #motorcyclist #news #race #racing #bikerspirit #??????????? https://t.co/pY71NwuqzM ???? ??? ?????? @BikerSpiritmaga'
joy,'RT @johncarlosbaez: The paper is called \"Integer multiplication in time O(n log n)\" and it\'s by David Harvey and Joris Van Der Hoven.  It\'s…'
joy,'????????????????????????????????????????????????????????????????????????????\nhttps://t.co/1ttNzV6srK'
joy,'@NoticiasRCN Eso de “posible” soldado secuestrado por la minga, como disculpa del gobierno para estorbar el diálogo, tiene un aroma a  Fake News en curso #PedsgogiaPolitica'
joy,'RT @relationshi2_: https://t.co/9GyidByMc8'
